manager,name,version,build,channel,installer,role,source
conda,anthropic,0.58.2,py_0,https://conda.anaconda.org/esri/noarch,conda,inventory,anthropic-0.58.2-py_0.json
conda,antlr-python-runtime,4.9.3,py_0,https://conda.anaconda.org/esri/noarch,conda,inventory,antlr-python-runtime-4.9.3-py_0.json
conda,anyio,4.7.0,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,anyio-4.7.0-py313haa95532_0.json
conda,anywidget,0.9.18,py_0,https://conda.anaconda.org/esri/noarch,conda,inventory,anywidget-0.9.18-py_0.json
conda,aom,3.12.0,0,https://conda.anaconda.org/esri/win-64,conda,inventory,aom-3.12.0-0.json
conda,appdirs,1.4.4,pyhd3eb1b0_0,https://repo.anaconda.com/pkgs/main/noarch,conda,inventory,appdirs-1.4.4-pyhd3eb1b0_0.json
conda,arcgis,2.4.2,py313_267,https://conda.anaconda.org/esri/win-64,conda,inventory,arcgis-2.4.2-py313_267.json
conda,arcgis-mapping,4.33.0,py_804,https://conda.anaconda.org/esri/noarch,conda,inventory,arcgis-mapping-4.33.0-py_804.json
conda,arcgispro,3.6,0,https://conda.anaconda.org/esri/win-64,conda,inventory,arcgispro-3.6-0.json
conda,arcpy,3.6,py313_arcgispro_59466,https://conda.anaconda.org/esri/win-64,conda,inventory,arcpy-3.6-py313_arcgispro_59466.json
conda,arcpy-base,3.6,py313_59466,https://conda.anaconda.org/esri/win-64,conda,inventory,arcpy-base-3.6-py313_59466.json
conda,argon2-cffi,21.3.0,pyhd3eb1b0_0,https://repo.anaconda.com/pkgs/main/noarch,conda,inventory,argon2-cffi-21.3.0-pyhd3eb1b0_0.json
conda,argon2-cffi-bindings,25.1.0,py313h02ab6af_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,argon2-cffi-bindings-25.1.0-py313h02ab6af_0.json
conda,arviz,0.20.0,pyhd8ed1ab_1,https://conda.anaconda.org/esri/noarch,conda,inventory,arviz-0.20.0-pyhd8ed1ab_1.json
conda,astor,0.8.1,py313haa95532_1,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,astor-0.8.1-py313haa95532_1.json
conda,asttokens,3.0.0,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,asttokens-3.0.0-py313haa95532_0.json
conda,async-lru,2.0.4,py_0,https://conda.anaconda.org/esri/noarch,conda,inventory,async-lru-2.0.4-py_0.json
conda,attrs,24.3.0,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,attrs-24.3.0-py313haa95532_0.json
conda,autograd,1.7.0,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,autograd-1.7.0-py313haa95532_0.json
conda,autograd-gamma,0.5.0,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,autograd-gamma-0.5.0-py313haa95532_0.json
conda,aws-crt-cpp,0.27.4,1,https://conda.anaconda.org/esri/win-64,conda,inventory,aws-crt-cpp-0.27.4-1.json
conda,aws-sdk-cpp-base,1.11.386,2,https://conda.anaconda.org/esri/win-64,conda,inventory,aws-sdk-cpp-base-1.11.386-2.json
conda,azure-core,1.12.0,py_0,https://conda.anaconda.org/esri/noarch,conda,inventory,azure-core-1.12.0-py_0.json
conda,azure-storage-blob,12.8.0,py_0,https://conda.anaconda.org/esri/noarch,conda,inventory,azure-storage-blob-12.8.0-py_0.json
conda,babel,2.16.0,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,babel-2.16.0-py313haa95532_0.json
conda,beautifulsoup4,4.13.5,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,beautifulsoup4-4.13.5-py313haa95532_0.json
conda,bitsandbytes,0.45.2,cuda126_py313_3,https://conda.anaconda.org/esri/win-64,conda,inventory,bitsandbytes-0.45.2-cuda126_py313_3.json
conda,black,25.1.0,py313_1,https://conda.anaconda.org/esri/win-64,conda,inventory,black-25.1.0-py313_1.json
conda,black-jupyter,25.1.0,1,https://conda.anaconda.org/esri/noarch,conda,inventory,black-jupyter-25.1.0-1.json
conda,blas,1.0,mkl,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,blas-1.0-mkl.json
conda,bleach,6.2.0,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,bleach-6.2.0-py313haa95532_0.json
conda,blinker,1.9.0,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,blinker-1.9.0-py313haa95532_0.json
conda,blosc,1.21.5,0,https://conda.anaconda.org/esri/win-64,conda,inventory,blosc-1.21.5-0.json
conda,boto3,1.37.10,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,boto3-1.37.10-py313haa95532_0.json
conda,botocore,1.37.10,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,botocore-1.37.10-py313haa95532_0.json
conda,bottleneck,1.4.2,py313h2cb717b_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,bottleneck-1.4.2-py313h2cb717b_0.json
conda,branca,0.8.1,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,branca-0.8.1-py313haa95532_0.json
conda,brotli,1.1.0,4,https://conda.anaconda.org/esri/win-64,conda,inventory,brotli-1.1.0-4.json
conda,brotli-bin,1.1.0,4,https://conda.anaconda.org/esri/win-64,conda,inventory,brotli-bin-1.1.0-4.json
conda,brotli-python,1.0.9,py313h5da7b33_9,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,brotli-python-1.0.9-py313h5da7b33_9.json
conda,brotlicffi,1.0.9.2,py313h5da7b33_1,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,brotlicffi-1.0.9.2-py313h5da7b33_1.json
conda,bzip2,1.0.8,h2bbff1b_6,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,bzip2-1.0.8-h2bbff1b_6.json
conda,c-ares,1.34.5,0,https://conda.anaconda.org/esri/win-64,conda,inventory,c-ares-1.34.5-0.json
conda,cached-property,2.0.1,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,cached-property-2.0.1-py313haa95532_0.json
conda,cachetools,5.5.1,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,cachetools-5.5.1-py313haa95532_0.json
conda,cairo,1.18.2,0,https://conda.anaconda.org/esri/win-64,conda,inventory,cairo-1.18.2-0.json
conda,catalogue,2.0.10,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,catalogue-2.0.10-py313haa95532_0.json
conda,catboost,1.2.8,py313_1,https://conda.anaconda.org/esri/win-64,conda,inventory,catboost-1.2.8-py313_1.json
conda,category_encoders,2.2.2,py_0,https://conda.anaconda.org/esri/noarch,conda,inventory,category_encoders-2.2.2-py_0.json
conda,ccimport,0.4.4,py_2,https://conda.anaconda.org/esri/noarch,conda,inventory,ccimport-0.4.4-py_2.json
conda,certifi,2026.5.20,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,certifi-2026.5.20-py313haa95532_0.json
conda,cffi,1.17.1,py313h827c3e9_1,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,cffi-1.17.1-py313h827c3e9_1.json
conda,cftime,1.6.4,py313_1,https://conda.anaconda.org/esri/win-64,conda,inventory,cftime-1.6.4-py313_1.json
conda,chardet,5.2.0,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,chardet-5.2.0-py313haa95532_0.json
conda,charls,2.4.2,h2e0806f_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,charls-2.4.2-h2e0806f_0.json
conda,charset-normalizer,3.3.2,pyhd3eb1b0_0,https://repo.anaconda.com/pkgs/main/noarch,conda,inventory,charset-normalizer-3.3.2-pyhd3eb1b0_0.json
conda,click,8.2.1,py313haa95532_0,https://repo.anaconda.com/pkgs/main/win-64,conda,inventory,click-8.2.1-py313haa95532_0.json
conda,click-plugins,1.1.1.2,py_0,https://conda.anaconda.org/esri/noarch,conda,inventory,click-plugins-1.1.1.2-py_0.json
